CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,15-12-2018,2090,433,1657
Surat,16-12-2018,1842,156,1686
Surat,17-12-2018,2126,454,1672
Surat,18-12-2018,2115,443,1672
Surat,19-12-2018,2032,437,1595
Surat,20-12-2018,2125,513,1612
Surat,21-12-2018,2016,371,1645
Surat,22-12-2018,1899,258,1641
Surat,23-12-2018,1752,110,1642
Surat,24-12-2018,2156,485,1671
Surat,25-12-2018,1899,241,1658
Surat,26-12-2018,1957,412,1545
Surat,27-12-2018,1914,341,1573
Surat,28-12-2018,1902,320,1582
Surat,29-12-2018,2028,437,1591
Surat,30-12-2018,1743,129,1614
Surat,31-12-2018,2160,509,1651
Surat,01-01-2019,2145,508,1637
Surat,02-01-2019,2194,607,1587
Surat,03-01-2019,1998,374,1624
Surat,04-01-2019,2141,509,1632
Surat,05-01-2019,2201,540,1661
Surat,06-01-2019,1762,101,1661
Surat,07-01-2019,2238,531,1707
Surat,08-01-2019,2215,484,1731
Surat,09-01-2019,2124,428,1696
Surat,10-01-2019,2124,363,1761
Surat,11-01-2019,2190,388,1802
Surat,12-01-2019,2208,379,1829
Surat,13-01-2019,1972,121,1851
Surat,14-01-2019,1911,112,1799
Surat,15-01-2019,2194,421,1773
Surat,16-01-2019,2146,488,1658
Surat,17-01-2019,2077,390,1687
Surat,18-01-2019,2032,376,1656
Surat,19-01-2019,2098,427,1671
Surat,20-01-2019,1872,166,1706
Surat,21-01-2019,2240,487,1753
Surat,22-01-2019,2171,414,1757
Surat,23-01-2019,2141,414,1727
Surat,24-01-2019,1976,420,1556
Surat,25-01-2019,1888,321,1567
Surat,26-01-2019,1763,224,1539
Surat,27-01-2019,1651,112,1539
Surat,28-01-2019,1956,437,1519
Surat,29-01-2019,1905,379,1526
Surat,30-01-2019,1924,464,1460
Surat,31-01-2019,1840,355,1485
Surat,01-02-2019,1803,328,1475
Surat,02-02-2019,1804,317,1487
Surat,03-02-2019,1572,70,1502
Surat,04-02-2019,1919,407,1512
Surat,05-02-2019,1868,356,1512
Surat,06-02-2019,1906,403,1503
Surat,07-02-2019,1808,311,1497
Surat,08-02-2019,1817,336,1481
Surat,09-02-2019,1730,230,1500
Surat,10-02-2019,1609,89,1520
Surat,11-02-2019,1921,378,1543
Surat,12-02-2019,1953,405,1548
Surat,13-02-2019,1886,374,1512
Surat,14-02-2019,1860,342,1518
Surat,15-02-2019,1801,280,1521
Surat,16-02-2019,1849,340,1509
Surat,17-02-2019,1619,90,1529
Surat,18-02-2019,1936,387,1549
Surat,19-02-2019,1954,416,1538
Surat,20-02-2019,1923,379,1544
Surat,21-02-2019,1828,259,1569
Surat,22-02-2019,1949,360,1589
Surat,23-02-2019,1846,254,1592
Surat,24-02-2019,1716,98,1618
Surat,25-02-2019,2072,375,1697
Surat,26-02-2019,2020,378,1642
Surat,27-02-2019,1737,267,1470
Surat,28-02-2019,1805,331,1474
Surat,01-03-2019,1843,370,1473
Surat,02-03-2019,1761,259,1502
Surat,03-03-2019,1600,86,1514
Surat,04-03-2019,1672,185,1487
Surat,05-03-2019,1905,406,1499
Surat,06-03-2019,1879,449,1430
Surat,07-03-2019,1808,364,1444
Surat,08-03-2019,1725,285,1440
Surat,09-03-2019,1725,289,1436
Surat,10-03-2019,1540,93,1447
Surat,11-03-2019,1865,401,1464
Surat,12-03-2019,1890,429,1461
Surat,13-03-2019,1778,400,1378
Surat,14-03-2019,1685,305,1380
Surat,15-03-2019,1716,320,1396
Surat,16-03-2019,1796,410,1386
Surat,17-03-2019,1510,108,1402
Surat,18-03-2019,1827,420,1407
Surat,19-03-2019,1822,438,1384
Surat,20-03-2019,1772,510,1262
Surat,21-03-2019,1352,98,1254
Surat,22-03-2019,1701,435,1266
Surat,23-03-2019,1616,356,1260
Surat,24-03-2019,1375,111,1264
Surat,25-03-2019,1825,536,1289
Surat,26-03-2019,1791,505,1286
Surat,27-03-2019,1645,453,1192
Surat,28-03-2019,1502,291,1211
Surat,29-03-2019,1612,377,1235
Surat,30-03-2019,1606,365,1241
Surat,31-03-2019,1358,106,1252
